CaseNumber,Sample,D3S1358,D3S1358,D1S1656,D1S1656,D2S441,D2S441,D10S1248,D10S1248,D13S317,D13S317,Penta_E,Penta_E,D16S539,D16S539,D18S51,D18S51,D2S1338,D2S1338,CSF1PO,CSF1PO,Penta_D,Penta_D,TH01,TH01,vWA,vWA,D21S11,D21S11,D7S820,D7S820,D5S818,D5S818,TPOX,TPOX,D8S1179,D8S1179,D12S391,D12S391,D19S433,D19S433,FGA,FGA,D22S1045,D22S1045
Individual,129,14,18,14,10,14,9,15,12,14,10,6,5,10,5,15,22,20,19,10,7,17,15,8,6,13,14,31.2,35,11,8,11,11,13,11,16,11,18.1,22,13.2,12.2,20,29,15,13
Individual,130,15.2,18,18.3,18,13.3,9,15,17,10,14,9,6,10,13,22,13,19,27,10,12,11,5,10,5,11,12,27,30.2,9,9,10,13,10,12,18,8,14,18.3,14.2,12.2,16.2,20,19,14
Individual,131,17,15.2,19.3,18.3,14.3,12.3,18,10,10,10,14,15,10,14,15.2,15,27,25,11,11,2.2,17,9,5,15,18,33,32.2,14,8,14,10,7,9,9,11,17.3,16,11,13,22.2,16.2,8,12
Individual,132,12,18,14.3,17,9,12.3,8,16,14,14,18,20,13,13,18,24,25,16,11,7,10,17,9.3,9.3,12,19,30.2,28,11,13,7,12,8,7,14,18,20.1,20,12.2,15,22,18.2,11,17
Individual,133,15.2,16,12,17.3,13.3,12,15,16,14,9,17,18,12,12,15.2,12,26,16,8,11,13.4,3.2,5,9.3,14,20,31.2,32.2,6,11,8,13,10,9,10,13,18.3,14,12,13.2,22.3,25,16,11
Individual,134,15,16,11,14,14,10,8,12,11,14,19,10,14,8,23,9,25,24,14,9,13,14,9,8,13,12,33,35,9,13,9,7,11,13,10,10,19,17.1,18.2,13,31.2,30,14,18
Individual,135,17,14,14.3,16.3,13.3,14.3,12,17,12,13,16,8,13,14,13,23,23,16,9,10,14,12,6,9,14,11,33,36,9,11,9,12,12,7,17,12,21,17.1,15,13,19.2,23,19,17
Individual,136,18,13,10,17.3,13.3,9,12,13,8,13,16,11,8,12,19,22,15,26,11,10,14,11,6,10,14,16,26,35,9,6,9,13,10,11,17,13,18.1,17,16.2,14.2,30,26,18,13
Individual,137,15,18,12,17.3,10,14,14,17,9,11,7,17,8,5,20,15,24,16,10,8,13.4,5,9.3,10,18,20,39,35,10,13,11,8,8,13,16,8,17.1,20.1,12.2,15.2,21,25,8,10
Individual,138,12,13,17.3,13,12,12.3,9,18,9,12,7,25,12,12,10,19,17,26,10,8,13,6,10,8,14,14,30,26,7,13,10,13,12,13,16,11,22,23,11,15.2,29,27,15,8
Individual,139,15.2,19,14.3,17.3,14.3,14.3,14,9,9,12,25,5,8,8,14,24,26,17,10,10,15,9,9.3,9.3,13,16,29,30,8,9,7,12,8,7,14,16,20.1,20.1,12.2,17.2,31.2,16.2,18,18
Individual,140,16,19,15.3,18,12,14.3,9,18,13,13,25,13,13,10,15.2,19,25,16,7,10,17,13.4,10,9.3,18,11,33.2,27,11,6,13,7,8,10,13,14,17.1,25,10,14.2,22,23.2,16,15
Individual,141,16,19,18,19.3,12.3,14,15,18,11,8,13,6,9,13,11,11,22,19,13,7,13,7,10,7,17,17,28,28,14,13,12,15,10,9,10,14,15,19,12,13,30.2,18.2,13,10
Individual,142,17,12,17.3,18.3,14.3,14,8,17,14,11,25,13,12,5,23,15,15,26,12,11,12,13.4,7,9,12,20,30,31,8,11,10,12,7,9,13,15,17.1,17.3,16,15,22.3,31.2,17,13
Individual,143,12,17,16,16.3,15,13.3,15,8,8,13,16,19,14,5,23,11,16,23,12,7,5,15,10,8,11,21,31,27,13,14,11,13,11,10,17,13,15,18,12.2,15.2,25.2,22,8,18
Individual,144,17,19,17,16.3,11,12,12,17,11,10,11,6,8,10,13,24,18,27,11,11,5,13.4,7,7,18,19,30.2,35,10,7,7,14,8,6,8,17,18,19.3,10,14,24,22,19,8
Individual,145,13,18,18.3,15,10,11,16,15,14,14,20,8,12,13,16,10,18,20,10,14,9,13.4,6,8,12,17,26,30,14,10,7,7,8,13,17,9,17.3,20,16,12,31.2,31.2,10,18
Individual,146,15.2,19,17,15,14.3,9,16,16,11,9,8,10,9,8,24,16,21,22,9,8,10,12,9,5,21,18,39,33.1,8,7,8,7,8,7,9,15,22,18,14.2,14,16.2,28,11,8
Individual,147,18,15.2,11,16,13,14.3,15,12,14,10,8,12,12,13,21,21,19,17,7,13,2.2,6,7,6,12,21,31.2,32,13,13,13,7,9,11,14,18,19,20.1,17.2,14,26,19,10,18
Individual,148,17,17,13,12,15,13,17,17,12,10,17,20,5,5,12,14,15,21,13,13,17,13,7,8,16,19,31.2,39,11,6,9,13,6,11,15,18,19.3,23,14,11,18,28,8,15
Individual,149,13,16,13,18,14,13,16,14,10,11,12,12,12,12,20,15.2,23,26,11,14,13,17,9.3,10,16,20,28,30.2,9,12,8,9,7,10,17,17,16,23,11,12,31.2,30,11,8
Individual,150,18,14,15.3,17.3,11.3,15,13,8,14,11,9,14,10,5,16,21.2,23,25,11,12,15,7,9.3,8,11,18,38,34,8,8,9,8,9,8,16,8,20.1,17,13,12,26,18,12,11
Individual,151,17,14,10,18.3,13,9,8,16,13,8,10,11,5,10,22,21,22,27,12,13,5,12,9,7,16,18,38,39,9,7,7,15,6,9,18,12,18.3,15,11,16,17.2,19,17,11
Individual,152,16,19,14.3,14,12.3,9,16,10,14,9,19,8,14,9,19,20,27,15,13,14,10,2.2,6,10,14,20,33.1,37,13,13,11,14,9,11,9,12,16,19.1,13,11,24,20,17,16
Individual,153,19,17,19.3,16,13,15,8,18,11,12,5,13,9,9,13.2,21.2,22,23,7,9,13,7,10,9.3,17,12,33,32,10,7,14,11,12,8,9,11,19.3,22,15.2,17.2,29,22.3,8,13
Individual,154,13,19,16.3,11,11.3,9,10,14,14,10,11,15,10,9,12,20,18,15,8,12,11,10,9.3,10,17,11,33.1,33.2,9,12,14,10,8,10,16,11,19.1,20,14.2,10,31.2,19,17,8
Individual,155,16,14,15.3,16.3,11.3,13.3,15,18,11,13,18,5,9,10,10,16,26,15,11,7,2.2,17,9,8,21,12,32,31.2,14,9,13,11,6,12,10,16,18.3,14,16.2,15.2,25.2,24,8,11
Individual,156,13,15.2,16.3,19.3,14.3,12,8,15,11,8,19,20,14,14,17,17,22,21,7,13,6,10,9.3,9,18,13,33.2,30.2,7,9,9,12,10,6,11,16,20.1,23,11,16,18,18,12,10
Individual,157,18,18,10,16.3,11.3,12,9,15,8,8,9,6,9,8,10,10,23,18,9,9,8,14,6,6,12,16,30,31.2,12,7,13,8,7,8,15,10,18,18.3,12.2,14,20,30.2,14,12
Individual,158,12,16,16.3,15.3,11,11,18,17,9,12,20,10,12,13,11,22,24,19,8,10,7,15,9,10,16,15,36,35,8,10,11,9,10,7,14,15,23,25,11,15,19,19.2,13,13
Individual,159,14,15.2,10,17,14,15,16,8,12,11,17,17,14,13,18,21,23,26,9,9,6,11,10,9.3,20,18,39,35,14,13,14,15,7,12,10,8,19.3,18.3,18.2,15,25.2,30,14,17
Individual,160,12,12,16.3,15,14.3,14,10,15,9,8,13,17,13,14,10,15.2,19,18,11,12,9,2.2,9,5,11,12,30,30.2,11,12,14,13,13,8,18,8,18.3,21,11,12,28,22.3,18,11
Individual,161,17,12,18,14,12,15,17,18,13,12,5,20,5,12,13.2,15,15,27,7,8,10,17,9,5,19,21,31.2,28,14,13,9,7,6,7,9,18,16,23,15,16.2,30.2,18.2,8,16
Individual,162,16,19,15,11,15,11.3,14,18,14,8,20,12,12,8,14,15,16,17,10,10,2.2,8,8,10,17,15,30.2,30,12,6,11,7,6,13,14,9,19.3,20,14.2,12,17.2,31.2,16,14
Individual,163,17,15.2,18.3,14.3,11.3,11,9,17,12,8,17,13,13,12,21,21.2,15,18,7,11,7,6,10,6,14,15,31.2,29.3,14,14,10,7,13,6,16,9,19.1,19,17.2,12.2,24,22,19,18
Individual,164,14,18,16,18,14,15,10,9,13,8,18,19,10,8,15.2,19,15,20,7,12,12,14,5,8,13,20,33.2,37,11,6,14,9,11,11,16,10,20,18.1,17.2,18.2,20,28,8,16
Individual,165,15.2,17,15.3,13,14.3,15,11,10,10,14,8,12,9,14,9,24,26,20,13,12,17,5,9.3,5,15,11,33.1,32,11,9,11,14,12,6,11,15,19.3,20.1,14.2,16.2,25,21,16,13
Individual,166,19,15,12,16,14.3,9,14,13,12,11,7,17,5,12,17,22,27,22,9,7,11,7,7,5,20,14,32,29,6,13,14,15,7,11,16,12,18.1,18.3,14.2,13.2,29,25.2,12,14
Individual,167,18,19,17.3,18,12,10,14,8,9,12,17,5,9,10,13,14,18,26,13,11,5,15,6,9.3,20,19,31,29.3,14,8,7,12,10,10,13,12,19.3,23,13,14.2,31.2,22.2,16,12
Individual,168,17,12,14.3,18,14,14.3,10,8,14,14,10,7,5,8,9,21.2,22,19,13,11,2.2,11,9.3,5,18,13,33.2,37,11,9,10,9,8,8,11,9,17.3,14,12,15.2,22.2,23.2,19,12
Individual,169,15,19,18,15.3,11,14.3,14,11,13,9,16,8,13,5,17,21.2,26,22,10,7,9,2.2,7,9,19,16,27,29.3,7,6,10,14,6,12,10,18,20,23,17.2,16.2,23,28,18,19
Individual,170,15,14,15.3,15.3,14.3,15,8,16,10,12,9,15,14,14,22,11,18,18,7,7,14,3.2,10,5,16,18,27,30.2,12,13,8,14,13,9,18,15,19.1,14,13,16,20,18.2,19,19
Individual,171,15,12,17.3,13,13,12.3,9,12,11,12,16,11,10,8,20,18,26,25,12,10,13.4,13,5,9,12,18,34,30.2,8,11,7,8,13,12,9,16,17.1,18,12.2,12.2,23,19.2,17,16
Individual,172,17,14,15,16,12,12.3,10,14,10,12,25,19,13,10,24,21.2,21,23,7,11,17,13,10,6,17,19,27,30,6,7,10,11,7,6,13,13,20.1,18,17.2,13,29,21,10,15
Individual,173,12,19,12,17,10,9,8,15,9,13,15,12,12,14,14,21,17,23,14,13,13,17,8,9.3,20,12,27,30,10,10,12,13,9,13,11,13,25,19.3,18.2,11,18.2,24,17,10
Individual,174,12,19,10,12,13.3,13.3,17,13,12,12,13,18,10,10,15,12,24,20,12,14,13.4,15,7,10,15,16,26,27,14,13,8,13,12,6,13,16,24,19,18.2,12,22.2,22,12,8
Individual,175,14,18,17,10,11.3,13,10,18,9,13,19,25,5,5,20,13,21,20,10,7,5,3.2,5,5,14,21,30,33.1,10,10,12,8,7,9,14,10,23,17.3,15,11,25,25.2,18,10
Individual,176,12,19,19.3,15.3,13,12.3,15,8,14,9,20,13,10,14,12,9,20,19,9,9,17,5,7,7,13,15,26,34,8,10,15,12,9,10,15,15,15,17.3,18.2,16.2,16.2,27,17,19
Individual,177,14,13,17,18.3,11.3,12,14,16,13,14,11,18,12,10,14,13,25,27,7,13,5,3.2,8,10,18,14,30.2,32,12,8,14,10,10,10,12,11,17,18,12,16,22,24,8,18
Individual,178,14,15.2,17,18.3,12.3,10,9,16,10,10,10,10,13,12,22,12,24,25,11,10,12,6,5,9.3,20,13,34,31.2,11,6,12,7,8,13,8,10,18.1,19,14.2,12.2,22.3,22,17,18
Individual,179,12,12,10,18,10,12.3,18,17,8,12,18,8,13,9,21,21.2,17,19,11,7,6,6,7,6,14,13,31.2,29,14,8,9,8,6,11,17,18,25,25,13.2,11,19,23,13,18
Individual,180,19,16,18.3,10,10,11,9,11,14,8,6,19,5,5,11,18,24,24,8,12,2.2,5,10,7,15,12,31.2,28,13,9,12,10,8,9,11,15,19.1,19,14,15.2,18,19,17,15
Individual,181,19,15,12,15.3,11.3,13,8,9,11,13,5,15,12,5,21,21,15,26,11,7,3.2,8,5,6,11,13,33.2,37,11,12,11,12,13,11,18,9,19.3,17.3,18.2,15.2,30.2,17.2,11,12
Individual,182,12,18,10,18.3,13,14,9,17,13,8,14,5,14,5,18,9,16,22,7,9,12,13.4,5,5,14,20,29,27,7,13,10,10,11,12,13,11,24,15,16.2,15,18.2,27,13,13
Individual,183,13,18,16,17.3,12.3,11,11,13,11,12,13,12,14,13,15.2,14,24,25,7,8,17,7,10,6,17,13,38,26,8,13,14,12,8,13,10,16,22,25,14,11,18,25,17,15
Individual,184,15.2,15,15.3,14.3,14,14,18,16,8,13,6,18,13,13,19,17,25,15,12,11,2.2,9,7,10,19,20,26,29,14,14,8,12,13,10,17,9,24,20.1,14,16,25.2,16.2,14,13
Individual,185,14,15.2,15.3,17.3,15,13.3,11,9,9,10,25,7,5,5,21.2,19,27,26,8,10,12,14,9,5,16,11,32.2,35,7,6,10,13,11,11,15,9,19.3,25,17.2,17.2,30,16.2,11,14
Individual,186,15,19,11,12,11.3,14.3,11,13,9,13,7,8,8,14,19,22,19,17,13,10,7,12,7,7,13,12,30,26,7,6,15,12,8,12,15,15,20,15,11,13.2,29,23.2,17,15
Individual,187,16,18,10,13,12.3,14.3,15,15,14,8,5,10,5,5,22,24,25,18,8,7,15,13,9,7,16,11,30.2,35,10,13,12,13,9,11,14,16,19,23,16,16.2,24,25,19,18
Individual,188,16,15.2,19.3,14.3,13,9,18,14,13,8,11,15,8,13,9,17,23,26,7,9,13.4,17,8,8,20,19,28,31,14,7,11,14,10,9,14,16,18.1,23,13.2,13.2,30,18.2,12,16
Individual,189,12,19,18.3,16,14,12.3,16,11,13,12,5,14,9,8,21.2,17,23,19,7,10,3.2,13.4,9.3,9.3,19,15,28,33,13,6,11,7,8,7,10,15,16,17.1,14.2,15.2,21,22,16,18
Individual,190,17,13,13,18.3,11,13,15,8,8,11,15,19,13,5,22,22,15,21,10,9,13.4,11,6,9.3,15,20,32,30.2,6,12,12,11,12,13,16,17,23,17.1,12.2,15.2,18,31.2,8,16
Individual,191,18,15,13,10,13,13.3,18,13,11,13,6,9,13,13,23,21,26,17,9,10,5,2.2,9,6,16,19,38,27,10,10,13,11,12,12,18,11,19.1,19,15.2,12.2,23.2,19.2,14,17
Individual,192,16,13,16,16.3,12,14.3,9,12,9,14,17,12,8,12,12,10,16,24,8,9,15,15,10,10,11,21,32,35,8,13,9,15,11,6,14,12,23,19.3,12,12,19,30,18,19
Individual,193,16,18,17,15,13,15,16,15,14,11,10,25,9,5,21.2,16,17,16,7,7,14,11,8,7,20,12,31.2,28,11,6,7,13,8,10,15,8,18.3,22,13,14,22,22,19,13
Individual,194,19,15.2,18.3,17,14.3,11,8,12,8,12,17,17,9,12,22,17,23,19,12,8,5,3.2,9.3,7,20,21,37,37,10,9,12,14,12,13,14,16,17.1,17,16.2,13.2,21,31.2,19,11
Individual,195,19,17,13,10,14,11.3,14,11,9,13,8,6,14,9,15.2,17,27,27,13,14,11,3.2,6,9.3,17,16,39,29.3,6,12,13,7,9,12,17,13,18.1,19.3,13.2,12,30,30.2,14,15
Individual,196,14,17,17,15,10,15,14,12,13,14,5,7,10,5,22,11,22,26,11,13,14,5,6,8,21,16,30,33.1,6,12,7,10,12,13,15,15,20.1,19.1,16,15,23,23,18,14
Individual,197,12,14,15.3,18,11.3,13.3,14,15,9,14,19,11,12,12,18,17,15,23,12,8,12,15,6,6,20,17,31,34,12,14,14,10,8,11,13,17,21,19.3,14.2,13.2,16.2,22.3,17,11
Individual,198,13,14,15,18.3,12.3,10,12,11,9,13,9,15,12,13,13.2,23,15,22,14,7,13,6,10,9.3,20,11,32,39,9,12,9,7,13,13,8,17,16,17,14.2,14,20,25.2,10,11
Individual,199,15.2,15,17.3,19.3,13.3,11.3,9,10,9,12,6,8,10,8,17,10,20,19,12,11,12,11,7,10,16,20,33,30.2,8,12,11,10,9,7,18,18,22,17.1,10,15.2,19.2,16.2,8,19
Individual,200,16,15.2,18.3,14,11.3,13.3,17,18,12,12,19,6,12,8,13.2,10,19,27,13,13,9,9,6,8,14,17,36,30,7,10,7,12,7,8,17,12,17.1,20,13,12.2,25.2,18,16,18
CaseNumber,201,12,14,15,19.3,10,10,8,14,13,13,17,7,8,5,24,15.2,16,21,7,11,5,12,5,6,13,12,29.3,29.3,10,12,9,7,11,12,10,12,22,18,18.2,13.2,27,30.2,10,15
Individual,202,18,18,11,17.3,14,11.3,8,16,12,9,6,14,9,14,13,15,27,15,12,13,7,11,9,6,15,18,38,30,6,12,12,7,7,11,11,16,22,18,12,17.2,16.2,22,15,16
Individual,203,17,19,15,11,12.3,11.3,12,14,13,9,12,25,9,5,21,22,18,16,11,10,9,17,5,10,18,15,38,39,12,7,7,14,8,13,17,13,19.1,25,13,12.2,23,20,18,12
Individual,204,16,17,18,12,11,12,14,10,9,14,7,6,12,8,15,16,20,26,8,10,12,2.2,10,6,16,21,38,28,6,7,10,13,13,12,15,13,19.3,20.1,10,13,26,29,17,8
Individual,205,17,16,15.3,11,11.3,10,17,17,8,8,13,10,14,10,19,13,22,22,11,12,15,7,8,5,21,15,31,34,11,13,10,14,12,10,10,18,22,20,12.2,15,19.2,25,11,10
Individual,206,18,16,17,16.3,11,10,12,15,13,9,10,12,14,5,19,24,24,22,13,11,7,3.2,10,9.3,15,18,33.1,31.2,12,13,10,11,6,9,10,8,25,17,14.2,15,22,19.2,18,10
Individual,207,12,13,18.3,16.3,15,14,12,8,14,12,7,5,5,12,12,12,16,18,9,9,11,13.4,5,10,19,19,33,36,11,12,12,11,10,6,16,10,21,14,18.2,18.2,26,23.2,19,13
Individual,208,14,16,17,12,15,12,10,13,11,13,20,20,14,8,12,15.2,18,20,12,9,13,7,5,9.3,21,13,33.2,29,13,6,7,10,6,7,14,17,20,19,17.2,13.2,19.2,30.2,12,13
Individual,209,15,18,16.3,16.3,9,15,13,15,11,11,5,20,10,12,15.2,22,24,19,13,9,10,7,6,5,20,11,32,34,8,6,9,11,7,7,15,15,24,19,16,16.2,23,18.2,19,10
Individual,210,17,14,14.3,15,12,13,13,16,11,13,18,8,10,9,13.2,20,19,26,9,10,13.4,14,5,9.3,21,18,30,38,13,10,9,13,12,12,14,18,19,17,17.2,14,22.2,17.2,8,15
Individual,211,13,12,15.3,15.3,11.3,13.3,17,8,12,9,14,6,13,5,17,20,15,20,7,13,11,6,7,7,12,21,30.2,38,8,7,10,12,10,8,10,16,24,21,12,10,30,29,14,13
Individual,212,19,17,17.3,13,13.3,13.3,13,13,10,11,19,16,12,13,10,15.2,22,26,10,7,12,6,9,9,11,11,31,26,9,7,7,10,11,9,15,18,16,23,16,14.2,23.2,18,17,15
Individual,213,17,15,14.3,12,14,11,15,15,9,11,12,16,9,5,17,24,15,19,9,7,13,13,10,9,16,16,29.3,32.2,12,9,10,9,12,9,13,13,19.3,15,11,16.2,19,20,18,19
Individual,214,18,12,16,10,14,14.3,9,11,8,11,11,13,14,13,15.2,21.2,17,15,12,13,14,13.4,6,9.3,16,12,30,33.2,12,7,7,12,9,13,16,17,19.1,16,12,15,29,25,18,17
Individual,215,18,19,18.3,15,14,11.3,8,16,12,12,19,12,13,9,21,15.2,19,20,11,8,2.2,13.4,9.3,9.3,16,17,27,31.2,10,13,15,11,10,9,12,13,24,24,13.2,16.2,18,16.2,16,8
Individual,216,17,16,10,16,13,11,16,16,11,8,14,9,8,13,13.2,22,17,19,12,8,15,9,8,9.3,21,16,34,29,10,7,8,14,6,7,14,12,20.1,18.3,13.2,13.2,19.2,16.2,19,14
Individual,217,12,17,10,17,15,12,9,12,11,8,18,15,8,9,15,15,26,15,7,11,9,2.2,8,5,14,21,33.2,33.2,9,7,10,13,10,11,10,18,18.1,23,15.2,15,18.2,27,13,10
Individual,218,17,18,17,10,11,13,17,8,12,10,7,17,10,5,22,21.2,15,19,10,10,13,2.2,5,6,17,19,34,31,13,13,8,15,7,8,17,11,20,19.1,18.2,12.2,23,21,15,11
Individual,219,15,19,18.3,13,11,11,18,18,14,13,19,7,13,5,19,15,17,21,7,11,2.2,7,7,8,15,21,28,29.3,7,13,13,10,7,11,14,11,17.1,19.1,17.2,15.2,22,20,17,13
Individual,220,12,12,19.3,14.3,10,14,9,12,9,10,19,20,12,13,22,13,15,20,13,13,7,8,9,7,21,12,39,31.2,10,12,12,7,6,13,16,10,24,20,14,13.2,22.3,21,19,16
Individual,221,18,15,13,14.3,15,14.3,13,8,12,14,6,12,12,9,18,23,23,25,9,8,9,11,9,5,15,15,34,39,6,8,7,7,7,13,14,11,18,15,18.2,11,22.2,21,14,13
Individual,222,16,19,11,14,13.3,9,8,10,8,8,17,7,12,13,23,11,18,18,11,11,15,9,5,9,17,14,31.2,30,7,7,9,13,10,6,13,14,19.3,16,17.2,12.2,28,30,12,18
Individual,223,12,14,15,14.3,12.3,15,11,18,8,14,16,10,9,9,15,23,16,27,9,11,3.2,9,6,6,21,20,34,39,7,7,11,15,11,12,17,11,22,25,18.2,13.2,18.2,18.2,14,13
Individual,224,17,18,16,18,9,9,14,12,12,8,20,13,12,14,18,17,26,20,9,7,12,6,8,10,19,11,37,31.2,14,7,11,13,13,9,16,16,21,22,13.2,17.2,29,30,18,8
Individual,225,19,14,15.3,10,15,9,15,13,11,11,25,25,10,10,12,11,24,20,12,8,10,9,10,9,16,19,32.2,33,11,14,9,12,7,12,12,12,17.3,20.1,17.2,16,31.2,22,19,13
Individual,226,13,18,14,15,14,13,17,16,8,9,25,20,14,8,9,20,27,18,14,7,13.4,2.2,9,9.3,16,16,37,30.2,8,8,13,15,11,7,11,16,18.1,17,12,17.2,20,29,17,10
Individual,227,15.2,19,14,16.3,15,13.3,13,13,12,8,11,5,10,10,18,23,18,21,11,13,13,6,8,9.3,20,11,32.2,38,11,11,12,12,11,13,10,9,17.3,15,10,13,30.2,19,8,16
Individual,228,19,16,18,18,10,13,13,14,13,8,9,5,5,12,15,14,20,27,11,13,12,7,10,8,13,14,30,30,10,14,8,8,12,7,17,9,24,21,13,14.2,24,30,15,10
Individual,229,13,14,15.3,15,9,13,14,13,9,14,10,5,10,10,18,15.2,18,23,8,11,17,7,9.3,9.3,20,17,32.2,33.2,14,8,9,12,9,10,8,12,19.3,17.3,12,18.2,29,25,13,8
Individual,230,14,15.2,17,19.3,15,9,13,14,10,14,6,7,12,13,13,15.2,17,22,12,11,2.2,3.2,9.3,7,15,19,29.3,37,12,13,15,10,9,10,8,18,20,20,10,18.2,27,20,8,15
Individual,231,12,18,19.3,16,13.3,13.3,17,11,11,9,6,17,9,8,9,11,26,27,12,13,13,12,10,9.3,15,11,34,35,14,12,9,13,13,7,15,15,22,20,12.2,10,25.2,18,16,11
Individual,232,18,15,14.3,14.3,10,11.3,10,8,14,13,8,5,13,5,24,19,19,21,14,13,13,10,9.3,7,11,16,29,33.1,12,8,10,12,13,6,11,12,24,19.3,16.2,10,19.2,21,8,14
Individual,233,15,15.2,17.3,18,12,13,18,16,10,10,12,6,14,9,9,15,22,19,14,14,2.2,10,5,8,18,19,33,39,11,10,13,10,6,9,15,17,14,19,14,15.2,18,23,12,12
Individual,234,12,14,17,10,10,13.3,15,9,11,12,5,17,9,13,21,24,19,23,11,10,15,6,5,9,21,17,29.3,36,12,11,7,11,6,9,14,18,15,16,10,17.2,17.2,21,17,13
Individual,235,15.2,15,19.3,14.3,9,12,8,10,8,9,5,11,9,12,21.2,18,15,27,11,12,9,3.2,9,9.3,14,17,30,33.1,6,10,14,15,13,10,14,18,23,18.1,16.2,11,25,31.2,10,8
Individual,236,15.2,17,10,17.3,11.3,13.3,12,8,14,11,15,25,13,14,14,13,16,22,8,12,10,6,9.3,10,19,19,30,31,8,10,9,10,10,6,15,10,23,17,12.2,10,21,18,12,14
Individual,237,18,17,13,13,10,13.3,11,8,14,8,18,5,13,14,17,9,15,27,12,12,11,2.2,7,9,19,21,37,36,8,12,11,9,7,12,18,18,16,20.1,11,15.2,22.2,26,17,18
Individual,238,16,13,15,14.3,10,10,13,14,9,11,25,5,14,5,9,21,15,20,9,11,7,8,7,10,18,18,26,29,11,11,9,12,6,13,18,12,17.1,25,14.2,14.2,30.2,22.2,16,15
Individual,239,12,14,18,17.3,11,11,10,9,8,12,25,20,14,13,15,20,27,26,14,14,13,13,10,6,17,14,29,29.3,10,7,10,13,6,8,14,13,16,21,18.2,13.2,27,19.2,17,17
Individual,240,18,14,15,18,15,14.3,8,9,8,8,17,18,10,13,9,13,27,26,8,11,10,13,7,9.3,11,21,34,27,14,9,7,8,7,7,14,17,14,23,12,15.2,30.2,27,10,15
Individual,241,15,16,17,16.3,15,13.3,11,10,10,12,19,19,8,8,20,14,18,25,9,8,3.2,8,7,9.3,11,18,30,39,14,8,11,15,12,7,10,12,22,15,11,14,22,18.2,14,16
Individual,242,15,16,17.3,15.3,13,13.3,12,8,8,8,13,25,12,14,16,21.2,22,25,12,9,5,3.2,8,9,20,18,34,31,10,10,11,13,12,6,14,9,17,17.3,11,14.2,28,19.2,13,13
Individual,243,12,19,10,19.3,12.3,11.3,13,11,12,10,8,9,8,14,12,13.2,15,17,7,13,7,13,6,6,13,18,31.2,35,12,11,14,7,12,13,8,14,20,17,16.2,12.2,30.2,31.2,10,11
Individual,244,14,19,16,18,11.3,11,12,14,12,14,14,17,8,10,16,17,19,24,12,10,13.4,14,10,7,15,19,31,35,10,6,7,13,11,12,14,8,23,18.1,14,16.2,16.2,20,19,18
Individual,245,15.2,19,16,16.3,15,15,15,15,10,8,13,11,13,9,9,16,19,18,11,11,15,9,9.3,10,11,17,27,29,9,14,14,15,12,7,12,17,15,20,13,14.2,24,28,16,12
Individual,246,19,13,14.3,14,12.3,14,9,18,11,14,18,17,5,14,22,10,17,18,7,14,8,7,10,8,16,20,29.3,33,10,12,12,7,9,12,9,11,17.1,17.3,11,11,19.2,31.2,15,11
Individual,247,13,18,16.3,13,14.3,14,11,17,9,8,10,19,9,12,16,21.2,15,21,14,12,9,7,7,6,13,20,32.2,39,6,8,12,10,6,12,13,15,17,25,14.2,14.2,29,29,13,16
Individual,248,15,14,17.3,14.3,11.3,9,8,9,12,10,15,12,9,9,20,10,27,20,8,12,6,5,6,7,12,20,31,33.2,8,12,12,13,13,9,12,15,18.1,15,13,12.2,22.3,25.2,18,16
Individual,249,17,14,18.3,14.3,12.3,14.3,13,12,14,9,12,19,8,9,22,24,19,18,11,14,5,6,7,8,19,16,33.2,39,12,12,12,14,12,11,14,12,17.1,19.1,15.2,11,29,30.2,16,13
Individual,250,13,12,17,11,12,12,15,9,8,8,7,16,14,5,14,20,18,16,7,11,12,9,7,6,14,16,31.2,29.3,14,12,13,8,10,11,10,9,15,15,14.2,13.2,31.2,31.2,10,17
Individual,251,13,12,17,19.3,11,9,12,17,11,13,5,5,12,13,13,22,15,24,7,14,11,10,5,9.3,20,15,30.2,29,12,11,13,8,12,10,18,8,24,17.1,14,15.2,16.2,19.2,11,12
Individual,252,16,15,17.3,17,15,12.3,9,14,13,12,19,16,9,14,17,13.2,26,26,9,13,9,13,10,9,14,14,32,32,12,14,7,12,11,13,15,14,19.3,14,17.2,16.2,20,26,14,17
Individual,253,16,17,11,19.3,15,10,15,16,8,12,25,15,5,9,15,9,23,23,11,8,14,2.2,10,5,21,21,39,29.3,7,14,11,14,9,10,8,9,18.1,18,14.2,15.2,19.2,18.2,15,13
Individual,254,15,13,15.3,14.3,11.3,15,10,11,8,14,13,11,13,8,22,13.2,25,21,7,13,17,7,10,9.3,18,14,27,39,9,6,8,14,13,11,9,17,23,17.3,18.2,13.2,30.2,27,10,18
Individual,255,14,12,15.3,11,9,14,9,10,8,10,16,5,10,9,21,22,16,25,14,8,7,13.4,10,7,12,19,30,34,13,7,15,15,9,9,12,13,17,25,14.2,11,25,24,18,17
Individual,256,17,19,11,12,13.3,12,10,12,11,14,6,17,9,14,21.2,13,23,24,13,14,15,14,9,7,21,17,32,39,7,10,15,9,10,6,16,13,22,19.3,15.2,14.2,24,27,8,17
Individual,257,15,13,16.3,12,15,14.3,14,15,10,12,9,8,9,10,17,10,15,20,11,7,13,12,9.3,9.3,18,14,27,26,10,8,15,14,10,9,17,11,15,18,11,18.2,19.2,16.2,8,15
